Name,ATT,MID,DEF,OVR,Year
Brazil,87.0,85.86666666666666,84.0,86.0,2018
Germany,85.0,85.0,84.4,86.0,2018
Spain,84.33333333333333,86.0,85.0,85.0,2018
France,85.46666666666667,84.06666666666666,81.0,85.0,2018
Portugal,86.0,83.0,82.0,84.0,2018
Argentina,84.66666666666667,83.2,80.6,84.0,2018
Belgium,85.0,83.0,82.6,83.0,2018
Italy,81.0,81.0,82.0,82.0,2018
England,83.0,81.0,80.2,81.0,2018
Uruguay,86.0,77.0,79.73333333333333,80.0,2018
Poland,83.0,78.0,76.66666666666667,80.0,2018
Croatia,80.53333333333333,82.13333333333334,77.6,80.0,2018
Colombia,82.0,79.0,77.0,79.0,2018
Netherlands,80.0,79.0,79.0,79.0,2018
Mexico,80.0,79.93333333333334,75.86666666666666,79.0,2018
Russia,80.0,78.0,77.0,79.0,2018
Chile,78.0,80.0,77.0,78.0,2018
Denmark,77.0,79.0,76.0,78.0,2018
Switzerland,76.0,78.0,77.0,78.0,2018
Serbia,74.2,79.0,76.8,78.0,2018
Sweden,78.0,76.0,77.0,77.0,2018
Austria,80.0,77.0,74.0,76.0,2018
Turkey,79.0,77.0,76.0,76.0,2018
Peru,79.0,75.73333333333333,74.0,76.0,2018
Senegal,76.46666666666667,77.0,76.0,76.0,2018
Morocco,73.46666666666667,77.0,76.4,76.0,2018
Egypt,72.0,77.0,74.0,76.0,2018
Japan,76.0,77.2,73.8,75.0,2018
United States,76.0,76.0,74.0,75.0,2018
Wales,76.0,76.0,74.0,75.0,2018